run; iterations; problem; colony size; Setup rand Kernel; read map; Distance Kernel; Iroulete ; Route ; Pheromone; Best Check;  Copy Data; Total Time ; 
 3; 15; 5; 4096; 1.29107; 0.00083; 0.00005; 0.01144;  0.07392; 0.00089;  0.00089; 0.00002 ;  17674.334982 ; 2.432700 ;
 4; 15; 5; 4096; 1.29115; 0.00077; 0.00005; 0.01142;  0.07397; 0.00090;  0.00090; 0.00005 ;  17657.138222 ; 2.433571 ;
 0; 15; 5; 8192; 3.21810; 0.00078; 0.00005; 0.01144;  0.12077; 0.00176;  0.00176; 0.00002 ;  17378.930215 ; 5.082275 ;
 1; 15; 5; 8192; 3.21986; 0.00079; 0.00005; 0.01146;  0.12237; 0.00177;  0.00177; 0.00002 ;  17572.096010 ; 5.108556 ;
 2; 15; 5; 8192; 3.21890; 0.00085; 0.00006; 0.01156;  0.12214; 0.00177;  0.00177; 0.00003 ;  17604.878313 ; 5.104187 ;
 3; 15; 5; 8192; 3.21746; 0.00080; 0.00005; 0.01151;  0.12229; 0.00178;  0.00178; 0.00002 ;  17484.940357 ; 5.105087 ;
 4; 15; 5; 8192; 3.21854; 0.00081; 0.00005; 0.01157;  0.12281; 0.00179;  0.00179; 0.00002 ;  17644.331128 ; 5.114225 ;
 0; 15; 12; 1024; 1.33182; 0.56189; 0.00058; 0.18821;  1.28227; 0.00337;  0.00337; 0.00018 ;  11426.843875 ; 21.371562 ;
 1; 15; 12; 1024; 1.17346; 0.00890; 0.00056; 0.18791;  1.27974; 0.00336;  0.00336; 0.00006 ;  11278.962317 ; 20.621442 ;
 2; 15; 12; 1024; 1.17315; 0.01054; 0.00056; 0.18901;  1.28550; 0.00336;  0.00336; 0.00006 ;  11530.262895 ; 20.710199 ;
 3; 15; 12; 1024; 1.17244; 0.00874; 0.00056; 0.19067;  1.27926; 0.00336;  0.00336; 0.00006 ;  11251.397522 ; 20.616041 ;
 4; 15; 12; 1024; 1.17250; 0.00905; 0.00056; 0.18807;  1.28264; 0.00336;  0.00336; 0.00004 ;  11368.955142 ; 20.664604 ;
 0; 15; 12; 2048; 2.91990; 0.00915; 0.00057; 0.19026;  1.30851; 0.00655;  0.00655; 0.00004 ;  11199.144421 ; 22.852859 ;
 1; 15; 12; 2048; 2.92001; 0.00914; 0.00056; 0.18999;  1.30452; 0.00655;  0.00655; 0.00004 ;  11385.092974 ; 22.791706 ;
 2; 15; 12; 2048; 2.91967; 0.00859; 0.00056; 0.19011;  1.30322; 0.00655;  0.00655; 0.00007 ;  11386.646761 ; 22.771868 ;
 3; 15; 12; 2048; 2.91951; 0.01078; 0.00057; 0.18901;  1.30453; 0.00655;  0.00655; 0.00004 ;  11382.595109 ; 22.792561 ;
 4; 15; 12; 2048; 2.91816; 0.00932; 0.00057; 0.19185;  1.31696; 0.00658;  0.00658; 0.00004 ;  11309.121685 ; 22.978681 ;
 0; 15; 12; 4096; 6.48555; 0.00934; 0.00057; 0.19200;  1.50983; 0.01296;  0.01296; 0.00004 ;  11260.155776 ; 29.539690 ;
 1; 15; 12; 4096; 6.48865; 0.00916; 0.00058; 0.19469;  1.52231; 0.01305;  0.01305; 0.00006 ;  11235.926922 ; 29.733521 ;
 2; 15; 12; 4096; 6.48443; 0.00835; 0.00058; 0.19408;  1.52988; 0.01312;  0.01312; 0.00005 ;  11345.360756 ; 29.843243 ;
 3; 15; 12; 4096; 6.48898; 0.00878; 0.00060; 0.19659;  1.63755; 0.01343;  0.01343; 0.00004 ;  11222.686651 ; 31.470411 ;
 4; 15; 12; 4096; 6.47956; 0.01442; 0.00069; 0.20618;  1.68501; 0.01354;  0.01354; 0.00004 ;  11080.901078 ; 32.190069 ;
 0; 15; 12; 8192; 18.11566; 0.00980; 0.00068; 0.20934;  3.98980; 0.02690;  0.02690; 0.00009 ;  11208.185028 ; 78.606186 ;
