run; iterations; problem; colony size; Setup rand Kernel; read map; Distance Kernel; Iroulete ; Route ; Pheromone; Copy Data; Total Time ;
23; 15; 1; 4096; 0.00072; 0.01262; 0.00001; 0.00092;  4.336933e-06; 9.539600e-06; 0.19989;  0.214452 ;  
24; 15; 1; 4096; 0.00070; 0.01255; 0.00001; 0.00092;  4.348267e-06; 8.204867e-06; 0.20022;  0.214671 ;  
25; 15; 1; 4096; 0.00069; 0.01255; 0.00001; 0.00092;  5.551600e-06; 8.308533e-06; 0.19935;  0.213813 ;  
26; 15; 1; 4096; 0.00068; 0.01260; 0.00001; 0.00092;  4.430867e-06; 8.708467e-06; 0.19940;  0.213890 ;  
27; 15; 1; 4096; 0.00071; 0.01261; 0.00001; 0.00093;  4.915000e-06; 9.306133e-06; 0.20057;  0.215120 ;  
28; 15; 1; 4096; 0.00070; 0.01265; 0.00001; 0.00093;  6.152133e-06; 1.119853e-05; 0.20045;  0.215100 ;  
29; 15; 1; 4096; 0.00098; 0.01259; 0.00001; 0.00093;  4.907800e-06; 9.238467e-06; 0.20015;  0.214954 ;  
0; 15; 1; 8192; 0.00091; 0.16161; 0.00001; 0.00094;  6.814133e-06; 1.195393e-05; 0.29113;  0.454969 ;  
1; 15; 1; 8192; 0.00094; 0.16169; 0.00001; 0.00093;  4.821867e-06; 9.084667e-06; 0.29084;  0.454701 ;  
2; 15; 1; 8192; 0.00095; 0.16146; 0.00001; 0.00092;  4.949733e-06; 9.232133e-06; 0.29546;  0.459101 ;  
3; 15; 1; 8192; 0.00359; 0.16147; 0.00001; 0.00093;  3.977600e-06; 7.340200e-06; 0.29231;  0.458564 ;  
4; 15; 1; 8192; 0.00093; 0.16162; 0.00001; 0.00092;  3.935000e-06; 7.451533e-06; 0.29360;  0.457319 ;  
5; 15; 1; 8192; 0.00118; 0.16158; 0.00001; 0.00093;  3.966933e-06; 8.070533e-06; 0.28954;  0.453492 ;  
6; 15; 1; 8192; 0.00090; 0.16164; 0.00001; 0.00092;  4.096933e-06; 7.577600e-06; 0.28996;  0.453680 ;  
7; 15; 1; 8192; 0.00091; 0.16157; 0.00002; 0.00094;  4.241600e-06; 7.917000e-06; 0.29326;  0.456960 ;  
8; 15; 1; 8192; 0.00151; 0.16148; 0.00001; 0.00092;  4.616733e-06; 8.646200e-06; 0.29374;  0.457923 ;  
9; 15; 1; 8192; 0.00092; 0.16154; 0.00001; 0.00093;  3.965200e-06; 7.468867e-06; 0.29156;  0.455209 ;  
10; 15; 1; 8192; 0.00120; 0.16162; 0.00001; 0.00092;  4.111533e-06; 7.733000e-06; 0.29407;  0.458068 ;  
11; 15; 1; 8192; 0.00095; 0.16151; 0.00003; 0.00093;  4.436000e-06; 1.019807e-05; 0.28832;  0.452029 ;  
12; 15; 1; 8192; 0.00093; 0.16162; 0.00001; 0.00092;  4.209000e-06; 7.906267e-06; 0.29125;  0.454992 ;  
13; 15; 1; 8192; 0.00093; 0.16155; 0.00001; 0.00092;  3.831733e-06; 7.556867e-06; 0.29364;  0.457302 ;  
14; 15; 1; 8192; 0.00118; 0.16171; 0.00001; 0.00092;  4.203667e-06; 7.898467e-06; 0.29132;  0.455400 ;  
15; 15; 1; 8192; 0.00114; 0.16147; 0.00001; 0.00094;  4.320867e-06; 7.591867e-06; 0.29064;  0.454457 ;  
16; 15; 1; 8192; 0.00094; 0.16156; 0.00001; 0.00093;  4.115600e-06; 7.532400e-06; 0.29067;  0.454345 ;  
17; 15; 1; 8192; 0.00087; 0.16152; 0.00001; 0.00092;  4.555267e-06; 7.198800e-06; 0.29133;  0.454919 ;  
18; 15; 1; 8192; 0.00090; 0.16156; 0.00001; 0.00093;  4.022867e-06; 7.445800e-06; 0.28983;  0.453465 ;  
19; 15; 1; 8192; 0.00091; 0.16152; 0.00001; 0.00092;  3.896467e-06; 7.201733e-06; 0.29450;  0.458099 ;  
20; 15; 1; 8192; 0.00090; 0.16172; 0.00002; 0.00093;  4.137867e-06; 7.588267e-06; 0.29310;  0.456923 ;  
21; 15; 1; 8192; 0.00117; 0.16177; 0.00001; 0.00093;  3.824200e-06; 7.147667e-06; 0.29391;  0.458034 ;  
22; 15; 1; 8192; 0.00092; 0.16154; 0.00001; 0.00093;  3.979267e-06; 8.433667e-06; 0.29199;  0.455649 ;  
23; 15; 1; 8192; 0.00095; 0.16149; 0.00001; 0.00093;  3.852467e-06; 7.269333e-06; 0.29659;  0.460210 ;  
24; 15; 1; 8192; 0.00092; 0.16158; 0.00001; 0.00093;  4.159000e-06; 7.508000e-06; 0.29300;  0.456695 ;  
