Runs; Iterations;Problem;ants;BestSequence;RouteDistance;Time;
1;15;6;2048;0;115827.09595;51.56880; 
2;15;6;2048;0;114442.71083;51.37594; 
3;15;6;2048;0;114661.06967;51.49363; 
4;15;6;2048;0;114414.91949;51.57953; 
5;15;6;2048;0;116040.65384;51.50488; 
6;15;6;2048;0;114655.87621;51.67723; 
7;15;6;2048;0;113472.12874;51.56018; 
8;15;6;2048;0;114956.21047;51.52933; 
9;15;6;2048;0;115723.48691;51.38657; 
10;15;6;2048;0;113802.91167;51.49490; 
11;15;6;2048;0;115297.21922;51.44255; 
12;15;6;2048;0;114128.11209;51.43786; 
13;15;6;2048;0;115152.49385;51.47253; 
14;15;6;2048;0;113586.47062;51.46653; 
15;15;6;2048;0;114856.55947;51.76967; 
16;15;6;2048;0;115003.88433;51.55521; 
17;15;6;2048;0;115545.53572;51.53913; 
18;15;6;2048;0;114960.03227;51.66393; 
19;15;6;2048;0;114549.44241;51.49599; 
20;15;6;2048;0;115883.28655;51.57244; 
21;15;6;2048;0;114443.90434;51.43970; 
22;15;6;2048;0;113640.82316;51.54383; 
23;15;6;2048;0;114576.88213;51.60287; 
24;15;6;2048;0;115375.99228;51.38524; 
25;15;6;2048;0;114722.51119;51.61888; 
26;15;6;2048;0;115351.88105;51.56077; 
27;15;6;2048;0;113639.40101;51.71525; 
28;15;6;2048;0;114666.62273;51.57197; 
29;15;6;2048;0;115127.79656;51.37960; 
30;15;6;2048;0;115068.85159;51.52899; 
1;15;6;4096;0;115817.78565;91.90152; 
2;15;6;4096;0;116578.93171;91.79744; 
3;15;6;4096;0;116377.46910;91.87817; 
4;15;6;4096;0;116918.56780;92.02580; 
5;15;6;4096;0;115965.29618;92.06607; 
6;15;6;4096;0;115268.88763;91.97922; 
7;15;6;4096;0;115957.56945;92.02646; 
8;15;6;4096;0;117401.03022;92.10741; 
9;15;6;4096;0;116635.41429;92.08791; 
10;15;6;4096;0;114998.15262;92.13897; 
11;15;6;4096;0;117550.72975;92.03869; 
12;15;6;4096;0;114442.57798;92.04469; 
13;15;6;4096;0;115912.86909;92.04514; 
14;15;6;4096;0;116636.30759;92.02021; 
15;15;6;4096;0;115976.93064;91.99119; 
16;15;6;4096;0;115625.50620;92.03505; 
17;15;6;4096;0;116081.75532;92.13934; 
18;15;6;4096;0;117253.05795;92.07788; 
19;15;6;4096;0;114723.83805;92.06279; 
20;15;6;4096;0;116714.97969;92.13100; 
21;15;6;4096;0;116914.97761;91.95436; 
22;15;6;4096;0;117664.85531;92.18451; 
23;15;6;4096;0;115580.92126;92.17479; 
24;15;6;4096;0;117374.60960;92.07392; 
25;15;6;4096;0;117147.77814;92.07564; 
26;15;6;4096;0;116578.83333;92.16373; 
27;15;6;4096;0;116647.23618;92.08410; 
28;15;6;4096;0;116685.94749;91.92483; 
29;15;6;4096;0;117299.58359;91.92877; 
30;15;6;4096;0;115563.81844;92.06667; 
1;15;6;8192;0;116338.46293;197.05598; 
2;15;6;8192;0;117061.19418;197.09365; 
3;15;6;8192;0;115317.43176;196.93741; 
4;15;6;8192;0;117084.54530;196.83922; 
5;15;6;8192;
6;15;6;8192;0;116897.51848;197.02376; 
7;15;6;8192;0;115738.05170;197.07648; 
8;15;6;8192;0;115450.88781;197.10938; 
9;15;6;8192;0;117037.99532;196.86248; 
10;15;6;8192;0;118013.73084;196.95923; 
11;15;6;8192;0;116129.62488;196.94184; 
12;15;6;8192;0;117609.15742;196.91233; 
13;15;6;8192;0;117459.00892;196.97136; 
14;15;6;8192;0;116820.37850;197.01211; 
15;15;6;8192;0;117932.65360;197.14162; 
16;15;6;8192;0;117793.25003;196.99437; 
17;15;6;8192;0;116132.90127;197.06427; 
18;15;6;8192;0;117453.00612;197.10333; 
19;15;6;8192;0;117699.67321;196.82128; 
20;15;6;8192;0;116699.87600;196.97228; 
21;15;6;8192;0;116693.71077;196.88535; 
22;15;6;8192;0;115997.88148;196.94015; 
23;15;6;8192;0;116863.48564;197.03716; 
24;15;6;8192;0;117241.10856;197.02896; 
25;15;6;8192;0;115480.46494;197.21048; 
26;15;6;8192;0;116150.28214;196.94890; 
27;15;6;8192;0;116294.05932;196.91965; 
28;15;6;8192;0;117205.48219;196.96806; 
29;15;6;8192;0;117299.06814;197.00495; 
30;15;6;8192;0;116753.34056;197.08777; 
1;15;7;1024;0;70624.27251;2.14698; 
2;15;7;1024;0;69167.85373;2.10573; 
3;15;7;1024;0;70881.36979;2.12914; 
4;15;7;1024;0;66710.15091;2.13548; 
5;15;7;1024;0;70598.12798;2.09811; 
6;15;7;1024;0;70199.16559;2.10924; 
7;15;7;1024;0;70539.13195;2.10713; 
8;15;7;1024;0;69706.02792;2.09711; 
9;15;7;1024;0;70288.29921;2.10629; 
10;15;7;1024;0;70431.91934;2.12271; 
11;15;7;1024;0;71111.29875;2.13390; 
12;15;7;1024;0;70265.39227;2.11758; 
13;15;7;1024;0;70973.59423;2.08369; 
14;15;7;1024;0;68741.05600;2.08878; 
15;15;7;1024;0;70012.62766;2.06998; 
16;15;7;1024;0;71152.72521;2.08222; 
17;15;7;1024;0;71503.39694;2.08680; 
18;15;7;1024;0;70646.05521;2.13036; 
19;15;7;1024;0;71056.98110;2.09272; 
20;15;7;1024;0;71394.18897;2.09021; 
21;15;7;1024;0;71703.79432;2.09170; 
22;15;7;1024;0;68835.00720;2.08519; 
23;15;7;1024;0;69932.31476;2.08511; 
24;15;7;1024;0;70968.56882;2.08352; 
25;15;7;1024;0;70973.78063;2.11527; 
26;15;7;1024;0;69811.17803;2.12037; 
27;15;7;1024;0;68789.59047;2.08947; 
28;15;7;1024;0;70521.84431;2.09226; 
29;15;7;1024;0;71411.38291;2.13981; 
30;15;7;1024;0;70834.20130;2.06129; 
1;15;7;2048;0;72874.83514;2.08702; 
2;15;7;2048;0;73041.60585;2.09320; 
3;15;7;2048;0;72738.65621;2.13490; 
4;15;7;2048;0;72593.01751;2.14965; 
5;15;7;2048;0;72403.39608;2.09070; 
6;15;7;2048;0;72711.46616;2.08028; 
7;15;7;2048;0;71707.22430;2.09185; 
8;15;7;2048;0;70935.57803;2.08425; 
9;15;7;2048;0;70311.20914;2.07956; 
10;15;7;2048;0;71884.32026;2.12984; 
